File Name,2018-11-08 - Copy,,,,,,
Date,11/8/2018,,,,,,
Time,11:49:58,,,,,,
Test Info,User had no comments,,,,,,
Directory,C:\emms\test\2018-11-08 - Copy.csv,,,,,,
,,,,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used,,,
"103h, 3m, 1s",884,3000,919,0,,,
"103h, 4m, 3s",888,3000,920,0,,,
"103h, 5m, 4s",888,3000,920,0,,,
"103h, 6m, 5s",888,3000,920,0,,,
"103h, 7m, 6s",886,3000,920,0,,,
"103h, 8m, 8s",884,3000,920,0,,,
"103h, 9m, 9s",888,3000,920,0,,,
"103h, 10m, 10s",888,3000,921,0,,,
"103h, 11m, 11s",886,3000,921,0,,,
"103h, 12m, 12s",886,3000,921,0,,,
"103h, 13m, 13s",886,3000,921,0,,,
"103h, 14m, 14s",884,3000,921,0,,,
"103h, 15m, 15s",882,3000,921,0,,,
"103h, 16m, 17s",882,3000,921,0,,,
"103h, 17m, 18s",884,3000,922,0,,,
"103h, 18m, 19s",886,3000,922,0,,,
"103h, 19m, 20s",884,3000,922,0,,,
"103h, 20m, 21s",884,3000,922,0,,,
"103h, 21m, 22s",886,3000,922,0,,,
"103h, 22m, 23s",886,3000,922,0,,,
"103h, 23m, 25s",886,3000,922,0,,,
"103h, 24m, 26s",886,3000,923,0,,,
"103h, 25m, 27s",886,3000,923,0,,,
"103h, 26m, 28s",886,3000,923,0,,,
"103h, 27m, 29s",884,3000,923,0,,,
"103h, 28m, 30s",888,3000,923,0,,,
"103h, 29m, 31s",888,3000,923,0,,,
"103h, 30m, 33s",886,3000,924,0,,,
"103h, 31m, 34s",886,3000,924,0,,,
"103h, 32m, 35s",886,3000,924,0,,,
"103h, 33m, 36s",886,3000,924,0,,,
"103h, 34m, 37s",884,3000,924,0,,,
"103h, 35m, 38s",886,3000,924,0,,,
"103h, 36m, 39s",884,3000,924,0,,,
"103h, 37m, 41s",884,3000,925,0,,,
"103h, 38m, 42s",880,3000,925,0,,,
"103h, 39m, 43s",882,3000,925,0,,,
"103h, 40m, 44s",884,3000,925,0,,,
"103h, 41m, 45s",884,3000,925,0,,,
"103h, 42m, 46s",886,3000,925,0,,,
"103h, 43m, 47s",884,3000,925,0,,,
"103h, 44m, 49s",886,3000,926,0,,,
"103h, 45m, 50s",886,3000,926,0,,,
"103h, 46m, 51s",888,3000,926,0,,,
"103h, 47m, 52s",888,3000,926,0,,,
"103h, 48m, 53s",886,3000,926,0,,,
"103h, 49m, 54s",888,3000,926,0,,,
"103h, 50m, 55s",886,3000,927,0,,,
"103h, 51m, 57s",884,3000,927,0,,,
"103h, 52m, 58s",886,3000,927,0,,,
"103h, 53m, 59s",884,3000,927,0,,,
"103h, 55m, 0s",884,3000,927,0,,,
"103h, 56m, 1s",884,3000,927,0,,,
"103h, 57m, 2s",884,3000,927,0,,,
"103h, 58m, 14s",884,3000,928,0,,,
"103h, 59m, 15s",884,3000,928,0,,,
"104h, 16s",884,3000,928,0,,,
"104h, 1m, 17s",884,3000,928,0,,,
"104h, 2m, 18s",886,3000,928,0,,,
"104h, 3m, 19s",886,3000,928,0,,,
"104h, 4m, 20s",886,3000,929,0,,,
"104h, 5m, 21s",888,3000,929,0,,,
"104h, 6m, 23s",890,3000,929,0,,,
"104h, 7m, 24s",890,3000,929,0,,,
"104h, 8m, 25s",890,3000,929,0,,,
"104h, 9m, 26s",890,3000,929,0,,,
"104h, 10m, 27s",890,3000,929,0,,,
"104h, 11m, 28s",890,3000,930,0,,,
"104h, 12m, 29s",888,3000,930,0,,,
"104h, 13m, 30s",890,3000,930,0,,,
"104h, 14m, 32s",888,3000,930,0,,,
"104h, 15m, 33s",886,3000,930,0,,,
"104h, 16m, 34s",888,3000,930,0,,,
"104h, 17m, 35s",886,3000,930,0,,,
"104h, 18m, 36s",888,3000,931,0,,,
"104h, 19m, 37s",890,3000,931,0,,,
"104h, 20m, 38s",888,3000,931,0,,,
"104h, 21m, 40s",886,3000,931,0,,,
"104h, 22m, 41s",886,3000,931,0,,,
"104h, 23m, 42s",886,3000,931,0,,,
"104h, 24m, 43s",886,3000,932,0,,,
"104h, 25m, 44s",888,3000,932,0,,,
"104h, 26m, 45s",886,3000,932,0,,,
"104h, 27m, 46s",890,3000,932,0,,,
"104h, 28m, 47s",888,3000,932,0,,,
"104h, 29m, 49s",886,3000,932,0,,,
"104h, 30m, 50s",888,3000,932,0,,,
"104h, 31m, 51s",888,3000,933,0,,,
"104h, 32m, 52s",888,3000,933,0,,,
"104h, 33m, 53s",890,3000,933,0,,,
"104h, 34m, 54s",892,3000,933,0,,,
"104h, 35m, 55s",892,3000,933,0,,,
"104h, 36m, 57s",890,3000,933,0,,,
"104h, 37m, 58s",890,3000,933,0,,,
"104h, 38m, 59s",890,3000,934,0,,,
"104h, 40m, 0s",892,3000,934,0,,,
"104h, 41m, 1s",890,3000,934,0,,,
"104h, 42m, 2s",888,3000,934,0,,,
"104h, 43m, 3s",888,3000,934,0,,,
"104h, 44m, 4s",888,3000,934,0,,,
"104h, 45m, 6s",890,3000,935,0,,,
"104h, 46m, 7s",892,3000,935,0,,,
"104h, 47m, 8s",892,3000,935,0,,,
"104h, 48m, 9s",890,3000,935,0,,,
"104h, 49m, 10s",890,3000,935,0,,,
"104h, 50m, 11s",894,3000,935,0,,,
"104h, 51m, 12s",892,3000,935,0,,,
"104h, 52m, 14s",892,3000,936,0,,,
"104h, 53m, 15s",892,3000,936,0,,,
"104h, 54m, 16s",892,3000,936,0,,,
"104h, 55m, 17s",894,3000,936,0,,,
"104h, 56m, 18s",892,3000,936,0,,,
"104h, 57m, 19s",890,3000,936,0,,,
"109h, 16m, 35s",888,3000,975,0,,,
"109h, 17m, 37s",890,3000,975,0,,,
"118h, 45m, 5s",886,3000,1058,0,,,
